Leading Cancer Sites,Leading Cancer Sites Code,Year,Year Code,Sex,Sex Code,Ethnicity,Ethnicity Code,Mortality-Incidence Age-Adjusted Rate Ratio,Death Counts,Mortality Population,Mortality Age-Adjusted Rate,Incidence Counts,Incidence Population,Incidence Age-Adjusted Rate
Lung and Bronchus,22030,2017,2017,Female,F,Unknown or Missing,UNK,Not Applicable,156,Not Applicable,Not Applicable,243,Not Applicable,Not Applicable
Lung and Bronchus,22030,2017,2017,Male,M,Hispanic,2135-2,0.619,3182,29490085,21.756,5394,29490085,35.139
Lung and Bronchus,22030,2017,2017,Male,M,Non-Hispanic,2186-5,0.689,75294,130623360,46.696,111311,130623360,67.776
Lung and Bronchus,22030,2017,2017,Male,M,Unknown or Missing,UNK,Not Applicable,218,Not Applicable,Not Applicable,288,Not Applicable,Not Applicable
Lung and Bronchus,22030,2018,2018,Female,F,Hispanic,2135-2,0.475,2325,29449021,11.421,5056,29449021,24.029
Lung and Bronchus,22030,2018,2018,Female,F,Non-Hispanic,2186-5,0.592,63415,136428665,31.191,106042,136428665,52.699
Lung and Bronchus,22030,2018,2018,Female,F,Unknown or Missing,UNK,Not Applicable,107,Not Applicable,Not Applicable,265,Not Applicable,Not Applicable
Lung and Bronchus,22030,2018,2018,Male,M,Hispanic,2135-2,0.598,3220,30013471,20.692,5602,30013471,34.591
Lung and Bronchus,22030,2018,2018,Male,M,Non-Hispanic,2186-5,0.677,72814,130947042,43.946,109555,130947042,64.939
Lung and Bronchus,22030,2018,2018,Male,M,Unknown or Missing,UNK,Not Applicable,199,Not Applicable,Not Applicable,269,Not Applicable,Not Applicable
Lung and Bronchus,22030,2019,2019,Female,F,Hispanic,2135-2,0.459,2339,29926362,10.919,5249,29926362,23.803
Lung and Bronchus,22030,2019,2019,Female,F,Non-Hispanic,2186-5,0.574,62293,136711255,29.952,107418,136711255,52.174
Lung and Bronchus,22030,2019,2019,Female,F,Unknown or Missing,UNK,Not Applicable,111,Not Applicable,Not Applicable,261,Not Applicable,Not Applicable
Lung and Bronchus,22030,2019,2019,Male,M,Hispanic,2135-2,0.611,3321,30471950,20.599,5735,30471950,33.732
Lung and Bronchus,22030,2019,2019,Male,M,Non-Hispanic,2186-5,0.662,71368,131220386,42.102,109938,131220386,63.62
Lung and Bronchus,22030,2019,2019,Male,M,Unknown or Missing,UNK,Not Applicable,169,Not Applicable,Not Applicable,243,Not Applicable,Not Applicable
Lung and Bronchus,22030,2020,2020,Female,F,Hispanic,2135-2,0.528,2384,29686986,10.822,4693,29686986,20.51
Lung and Bronchus,22030,2020,2020,Female,F,Non-Hispanic,2186-5,0.629,58459,132552322,28.418,92091,132552322,45.18
Lung and Bronchus,22030,2020,2020,Female,F,Unknown or Missing,UNK,Not Applicable,87,Not Applicable,Not Applicable,235,Not Applicable,Not Applicable
Lung and Bronchus,22030,2020,2020,Male,M,Hispanic,2135-2,0.67,3172,30192675,18.786,4959,30192675,28.027
Lung and Bronchus,22030,2020,2020,Male,M,Non-Hispanic,2186-5,0.715,67011,127158928,39.83,95238,127158928,55.725
Lung and Bronchus,22030,2020,2020,Male,M,Unknown or Missing,UNK,Not Applicable,156,Not Applicable,Not Applicable,237,Not Applicable,Not Applicable
Melanoma of the Skin,25010,1999,1999,Female,F,Hispanic,2135-2,0.148,54,16482539,0.624,464,16482539,4.228
Melanoma of the Skin,25010,1999,1999,Female,F,Non-Hispanic,2186-5,0.143,2591,123911675,1.824,17072,123911675,12.802
Melanoma of the Skin,25010,1999,1999,Male,M,Hispanic,2135-2,0.217,79,17412426,1.015,388,17412426,4.67
Melanoma of the Skin,25010,1999,1999,Male,M,Non-Hispanic,2186-5,0.195,4399,117654708,4.009,23157,117654708,20.54
Melanoma of the Skin,25010,2000,2000,Female,F,Hispanic,2135-2,0.132,52,17296134,0.527,472,17296134,3.998
Melanoma of the Skin,25010,2000,2000,Female,F,Non-Hispanic,2186-5,0.138,2738,124569636,1.905,18570,124569636,13.789
Melanoma of the Skin,25010,2000,2000,Male,M,Hispanic,2135-2,0.232,92,18311173,1.148,424,18311173,4.942
Melanoma of the Skin,25010,2000,2000,Male,M,Non-Hispanic,2186-5,0.183,4444,118381271,4.006,24995,118381271,21.872
Melanoma of the Skin,25010,2001,2001,Female,F,Hispanic,2135-2,0.167,67,18038562,0.682,510,18038562,4.083
Melanoma of the Skin,25010,2001,2001,Female,F,Non-Hispanic,2186-5,0.124,2683,125565415,1.839,20238,125565415,14.872
Melanoma of the Skin,25010,2001,2001,Male,M,Hispanic,2135-2,0.183,78,19057491,0.891,440,19057491,4.867
Melanoma of the Skin,25010,2001,2001,Male,M,Non-Hispanic,2186-5,0.179,4642,119454493,4.101,26751,119454493,22.973
Melanoma of the Skin,25010,2002,2002,Female,F,Hispanic,2135-2,0.163,70,18777495,0.715,583,18777495,4.376
Melanoma of the Skin,25010,2002,2002,Female,F,Non-Hispanic,2186-5,0.119,2692,126141727,1.817,20911,126141727,15.228
Melanoma of the Skin,25010,2002,2002,Male,M,Hispanic,2135-2,0.166,77,19788056,0.866,469,19788056,5.202
Melanoma of the Skin,25010,2002,2002,Male,M,Non-Hispanic,2186-5,0.17,4593,120059234,3.995,27807,120059234,23.558
Melanoma of the Skin,25010,2003,2003,Female,F,Hispanic,2135-2,0.131,68,19529116,0.59,606,19529116,4.506
Melanoma of the Skin,25010,2003,2003,Female,F,Non-Hispanic,2186-5,0.123,2781,128149920,1.836,20936,128149920,14.901
Melanoma of the Skin,25010,2003,2003,Male,M,Hispanic,2135-2,0.231,91,20516198,1.083,449,20516198,4.681
Melanoma of the Skin,25010,2003,2003,Male,M,Non-Hispanic,2186-5,0.176,4859,121912699,4.11,28287,121912699,23.4
Melanoma of the Skin,25010,2004,2004,Female,F,Hispanic,2135-2,0.112,59,20263650,0.488,629,20263650,4.374
Melanoma of the Skin,25010,2004,2004,Female,F,Non-Hispanic,2186-5,0.113,2766,128713636,1.809,22598,128713636,15.946
Melanoma of the Skin,25010,2004,2004,Male,M,Hispanic,2135-2,0.152,79,21233735,0.783,525,21233735,5.148
Melanoma of the Skin,25010,2004,2004,Male,M,Non-Hispanic,2186-5,0.17,5038,122594277,4.204,30344,122594277,24.711
Melanoma of the Skin,25010,2005,2005,Female,F,Hispanic,2135-2,0.106,63,21030934,0.487,687,21030934,4.606
Melanoma of the Skin,25010,2005,2005,Female,F,Non-Hispanic,2186-5,0.112,2998,129182533,1.93,24479,129182533,17.162
Melanoma of the Skin,25010,2005,2005,Male,M,Hispanic,2135-2,0.212,105,21983069,1.047,540,21983069,4.945
Melanoma of the Skin,25010,2005,2005,Male,M,Non-Hispanic,2186-5,0.161,5171,123116126,4.268,33031,123116126,26.449
Melanoma of the Skin,25010,2006,2006,Female,F,Hispanic,2135-2,0.173,94,21837469,0.735,655,21837469,4.25
Melanoma of the Skin,25010,2006,2006,Female,F,Non-Hispanic,2186-5,0.107,2867,129895178,1.82,24621,129895178,17.027
Melanoma of the Skin,25010,2006,2006,Male,M,Hispanic,2135-2,0.217,110,22764677,1.095,568,22764677,5.035
Melanoma of the Skin,25010,2006,2006,Male,M,Non-Hispanic,2186-5,0.166,5365,123882588,4.346,33256,123882588,26.218
Melanoma of the Skin,25010,2007,2007,Female,F,Hispanic,2135-2,0.141,82,22650892,0.6,685,22650892,4.253
Melanoma of the Skin,25010,2007,2007,Female,F,Non-Hispanic,2186-5,0.103,2872,130515461,1.795,25578,130515461,17.471
Melanoma of the Skin,25010,2007,2007,Male,M,Hispanic,2135-2,0.217,112,23542063,1.097,570,23542063,5.062
Melanoma of the Skin,25010,2007,2007,Male,M,Non-Hispanic,2186-5,0.158,5390,124522791,4.253,34749,124522791,26.893
Melanoma of the Skin,25010,2008,2008,Female,F,Hispanic,2135-2,0.119,69,23468891,0.498,697,23468891,4.183
Melanoma of the Skin,25010,2008,2008,Female,F,Non-Hispanic,2186-5,0.101,2879,131135124,1.763,25905,131135124,17.419
Melanoma of the Skin,25010,2008,2008,Male,M,Hispanic,2135-2,0.194,116,24320894,1.018,625,24320894,5.242
Melanoma of the Skin,25010,2008,2008,Male,M,Non-Hispanic,2186-5,0.155,5550,125169057,4.315,36465,125169057,27.768
Melanoma of the Skin,25010,2009,2009,Female,F,Hispanic,2135-2,0.163,87,24261364,0.62,669,24261364,3.813
Melanoma of the Skin,25010,2009,2009,Female,F,Non-Hispanic,2186-5,0.105,3118,131702711,1.902,27247,131702711,18.135
Melanoma of the Skin,25010,2009,2009,Male,M,Hispanic,2135-2,0.23,121,25062023,1.081,598,25062023,4.698
Melanoma of the Skin,25010,2009,2009,Male,M,Non-Hispanic,2186-5,0.159,5862,125745431,4.476,37536,125745431,28.087
Melanoma of the Skin,25010,2010,2010,Female,F,Hispanic,2135-2,0.152,91,24992953,0.601,710,24992953,3.955
Melanoma of the Skin,25010,2010,2010,Female,F,Non-Hispanic,2186-5,0.103,3056,132256712,1.824,27122,132256712,17.76
Melanoma of the Skin,25010,2010,2010,Male,M,Hispanic,2135-2,0.232,125,25738929,1.047,617,25738929,4.512
Melanoma of the Skin,25010,2010,2010,Male,M,Non-Hispanic,2186-5,0.158,5870,126338549,4.379,37839,126338549,27.769
Melanoma of the Skin,25010,2011,2011,Female,F,Hispanic,2135-2,0.142,101,25565638,0.63,831,25565638,4.429
Melanoma of the Skin,25010,2011,2011,Female,F,Non-Hispanic,2186-5,0.099,3021,132804863,1.777,27771,132804863,17.943
Melanoma of the Skin,25010,2011,2011,Male,M,Hispanic,2135-2,0.215,134,26254388,1.037,667,26254388,4.826
Melanoma of the Skin,25010,2011,2011,Male,M,Non-Hispanic,2186-5,0.149,5863,126958592,4.318,40210,126958592,29.029
Melanoma of the Skin,25010,2012,2012,Female,F,Hispanic,2135-2,0.135,94,26106559,0.556,805,26106559,4.103
Melanoma of the Skin,25010,2012,2012,Female,F,Non-Hispanic,2186-5,0.099,3135,133374076,1.8,28413,133374076,18.121
Melanoma of the Skin,25010,2012,2012,Male,M,Hispanic,2135-2,0.208,130,26757437,1.026,702,26757437,4.94
Melanoma of the Skin,25010,2012,2012,Male,M,Non-Hispanic,2186-5,0.146,5875,127639590,4.233,41088,127639590,29.026
Melanoma of the Skin,25010,2013,2013,Female,F,Hispanic,2135-2,0.141,101,26641948,0.589,842,26641948,4.18
Melanoma of the Skin,25010,2013,2013,Female,F,Non-Hispanic,2186-5,0.094,3052,133903945,1.754,29597,133903945,18.568
Melanoma of the Skin,25010,2013,2013,Male,M,Hispanic,2135-2,0.184,135,27259191,0.952,759,27259191,5.172
Melanoma of the Skin,25010,2013,2013,Male,M,Non-Hispanic,2186-5,0.144,6099,128254863,4.322,43464,128254863,30.084
Melanoma of the Skin,25010,2014,2014,Female,F,Hispanic,2135-2,0.121,100,27186616,0.548,952,27186616,4.547
Melanoma of the Skin,25010,2014,2014,Female,F,Non-Hispanic,2186-5,0.088,3059,134503903,1.705,31183,134503903,19.28
Melanoma of the Skin,25010,2014,2014,Male,M,Hispanic,2135-2,0.193,156,27786043,1.041,855,27786043,5.4
Melanoma of the Skin,25010,2014,2014,Male,M,Non-Hispanic,2186-5,0.132,5987,128909767,4.128,46292,128909767,31.382
Melanoma of the Skin,25010,2014,2014,Male,M,Unknown or Missing,UNK,Not Applicable,18,Not Applicable,Not Applicable,100,Not Applicable,Not Applicable
Melanoma of the Skin,25010,2015,2015,Female,F,Hispanic,2135-2,0.113,97,27757109,0.522,994,27757109,4.619
Melanoma of the Skin,25010,2015,2015,Female,F,Non-Hispanic,2186-5,0.08,2966,135075042,1.632,33280,135075042,20.41
Melanoma of the Skin,25010,2015,2015,Male,M,Hispanic,2135-2,0.185,141,28354824,0.904,806,28354824,4.893
Melanoma of the Skin,25010,2015,2015,Male,M,Non-Hispanic,2186-5,0.12,5653,129552019,3.839,47980,129552019,31.899
Melanoma of the Skin,25010,2015,2015,Male,M,Unknown or Missing,UNK,Not Applicable,17,Not Applicable,Not Applicable,117,Not Applicable,Not Applicable
Melanoma of the Skin,25010,2016,2016,Female,F,Hispanic,2135-2,0.101,92,28342097,0.464,1027,28342097,4.607
Melanoma of the Skin,25010,2016,2016,Female,F,Non-Hispanic,2186-5,0.071,2667,135643965,1.446,33576,135643965,20.339
Melanoma of the Skin,25010,2016,2016,Male,M,Hispanic,2135-2,0.155,139,28936905,0.852,939,28936905,5.483
Melanoma of the Skin,25010,2016,2016,Male,M,Non-Hispanic,2186-5,0.109,5272,130148788,3.503,49424,130148788,32.259
Melanoma of the Skin,25010,2017,2017,Female,F,Hispanic,2135-2,0.101,102,28906337,0.484,1113,28906337,4.807
Melanoma of the Skin,25010,2017,2017,Female,F,Non-Hispanic,2186-5,0.068,2637,136102346,1.401,34567,136102346,20.579
Melanoma of the Skin,25010,2017,2017,Male,M,Hispanic,2135-2,0.167,149,29490085,0.833,911,29490085,4.985
Melanoma of the Skin,25010,2017,2017,Male,M,Non-Hispanic,2186-5,0.102,5152,130623360,3.342,51089,130623360,32.706
Melanoma of the Skin,25010,2018,2018,Female,F,Hispanic,2135-2,0.115,111,29449021,0.508,1064,29449021,4.435
Melanoma of the Skin,25010,2018,2018,Female,F,Non-Hispanic,2186-5,0.072,2792,136428665,1.465,34418,136428665,20.248
Melanoma of the Skin,25010,2018,2018,Male,M,Hispanic,2135-2,0.204,167,30013471,0.957,871,30013471,4.696
Melanoma of the Skin,25010,2018,2018,Male,M,Non-Hispanic,2186-5,0.103,5118,130947042,3.266,50482,130947042,31.658
Melanoma of the Skin,25010,2019,2019,Female,F,Hispanic,2135-2,0.102,108,29926362,0.46,1120,29926362,4.524
Melanoma of the Skin,25010,2019,2019,Female,F,Non-Hispanic,2186-5,0.066,2687,136711255,1.382,36248,136711255,21.023
Melanoma of the Skin,25010,2019,2019,Male,M,Hispanic,2135-2,0.17,146,30471950,0.804,934,30471950,4.738
Melanoma of the Skin,25010,2019,2019,Male,M,Non-Hispanic,2186-5,0.098,5139,131220386,3.203,53103,131220386,32.682
Melanoma of the Skin,25010,2020,2020,Female,F,Hispanic,2135-2,0.142,126,29686986,0.548,969,29686986,3.858
Melanoma of the Skin,25010,2020,2020,Female,F,Non-Hispanic,2186-5,0.075,2621,132552322,1.369,30874,132552322,18.337
Melanoma of the Skin,25010,2020,2020,Male,M,Hispanic,2135-2,0.205,155,30192675,0.818,805,30192675,3.991
Melanoma of the Skin,25010,2020,2020,Male,M,Non-Hispanic,2186-5,0.115,5031,127158928,3.191,44375,127158928,27.728
Myeloma,34000,1999,1999,Female,F,Hispanic,2135-2,0.549,238,16482539,2.997,466,16482539,5.454
Myeloma,34000,1999,1999,Female,F,Non-Hispanic,2186-5,0.706,4893,123911675,3.26,6709,123911675,4.615
Myeloma,34000,1999,1999,Male,M,Hispanic,2135-2,0.516,221,17412426,3.399,450,17412426,6.584
Myeloma,34000,1999,1999,Male,M,Non-Hispanic,2186-5,0.705,5014,117654708,4.766,7375,117654708,6.763
Myeloma,34000,2000,2000,Female,F,Hispanic,2135-2,0.551,234,17296134,2.776,460,17296134,5.035
Myeloma,34000,2000,2000,Female,F,Non-Hispanic,2186-5,0.682,5004,124569636,3.293,7101,124569636,4.826
Myeloma,34000,2000,2000,Male,M,Hispanic,2135-2,0.522,234,18311173,3.707,520,18311173,7.104
Myeloma,34000,2000,2000,Male,M,Non-Hispanic,2186-5,0.673,5011,118381271,4.704,7741,118381271,6.99
Myeloma,34000,2001,2001,Female,F,Hispanic,2135-2,0.484,231,18038562,2.569,503,18038562,5.309
Myeloma,34000,2001,2001,Female,F,Non-Hispanic,2186-5,0.673,4933,125565415,3.202,7092,125565415,4.761
Myeloma,34000,2001,2001,Male,M,Hispanic,2135-2,0.563,285,19057491,4.34,559,19057491,7.716
Myeloma,34000,2001,2001,Male,M,Non-Hispanic,2186-5,0.654,5130,119454493,4.703,8118,119454493,7.186
Myeloma,34000,2002,2002,Female,F,Hispanic,2135-2,0.518,254,18777495,2.742,529,18777495,5.299
Myeloma,34000,2002,2002,Female,F,Non-Hispanic,2186-5,0.659,4905,126141727,3.153,7208,126141727,4.781
Myeloma,34000,2002,2002,Female,F,Unknown or Missing,UNK,Not Applicable,17,Not Applicable,Not Applicable,24,Not Applicable,Not Applicable
Myeloma,34000,2002,2002,Male,M,Hispanic,2135-2,0.645,306,19788056,4.406,539,19788056,6.831
Myeloma,34000,2002,2002,Male,M,Non-Hispanic,2186-5,0.657,5293,120059234,4.789,8383,120059234,7.293
Myeloma,34000,2003,2003,Female,F,Hispanic,2135-2,0.522,270,19529116,2.784,571,19529116,5.332
Myeloma,34000,2003,2003,Female,F,Non-Hispanic,2186-5,0.635,4937,128149920,3.1,7521,128149920,4.883
Myeloma,34000,2003,2003,Male,M,Hispanic,2135-2,0.454,249,20516198,3.29,620,20516198,7.245
Myeloma,34000,2003,2003,Male,M,Non-Hispanic,2186-5,0.645,5327,121912699,4.677,8572,121912699,7.251
Myeloma,34000,2004,2004,Female,F,Hispanic,2135-2,0.474,268,20263650,2.578,607,20263650,5.437
Myeloma,34000,2004,2004,Female,F,Non-Hispanic,2186-5,0.61,4829,128713636,3.001,7660,128713636,4.923
Myeloma,34000,2004,2004,Male,M,Hispanic,2135-2,0.482,277,21233735,3.454,651,21233735,7.172
Myeloma,34000,2004,2004,Male,M,Non-Hispanic,2186-5,0.588,5191,122594277,4.483,9199,122594277,7.63
Myeloma,34000,2005,2005,Female,F,Hispanic,2135-2,0.517,284,21030934,2.548,582,21030934,4.924
Myeloma,34000,2005,2005,Female,F,Non-Hispanic,2186-5,0.59,4765,129182533,2.929,7859,129182533,4.965
Myeloma,34000,2005,2005,Male,M,Hispanic,2135-2,0.466,290,21983069,3.509,711,21983069,7.53
Myeloma,34000,2005,2005,Male,M,Non-Hispanic,2186-5,0.607,5411,123116126,4.575,9304,123116126,7.542
Myeloma,34000,2006,2006,Female,F,Hispanic,2135-2,0.491,293,21837469,2.566,646,21837469,5.222
Myeloma,34000,2006,2006,Female,F,Non-Hispanic,2186-5,0.587,4763,129895178,2.889,7882,129895178,4.926
Myeloma,34000,2006,2006,Male,M,Hispanic,2135-2,0.502,304,22764677,3.529,700,22764677,7.03
Myeloma,34000,2006,2006,Male,M,Non-Hispanic,2186-5,0.587,5339,123882588,4.434,9483,123882588,7.552
Myeloma,34000,2007,2007,Female,F,Hispanic,2135-2,0.528,312,22650892,2.539,622,22650892,4.805
Myeloma,34000,2007,2007,Female,F,Non-Hispanic,2186-5,0.576,4738,130515461,2.838,7976,130515461,4.923
Myeloma,34000,2007,2007,Male,M,Hispanic,2135-2,0.509,338,23542063,3.616,774,23542063,7.111
Myeloma,34000,2007,2007,Male,M,Non-Hispanic,2186-5,0.596,5469,124522791,4.472,9630,124522791,7.503
Myeloma,34000,2008,2008,Female,F,Hispanic,2135-2,0.405,268,23468891,2.105,709,23468891,5.201
Myeloma,34000,2008,2008,Female,F,Non-Hispanic,2186-5,0.521,4510,131135124,2.651,8388,131135124,5.084
Myeloma,34000,2008,2008,Male,M,Hispanic,2135-2,0.427,323,24320894,3.251,831,24320894,7.607
Myeloma,34000,2008,2008,Male,M,Non-Hispanic,2186-5,0.554,5489,125169057,4.355,10331,125169057,7.857
Myeloma,34000,2009,2009,Female,F,Hispanic,2135-2,0.403,278,24261364,2.124,767,24261364,5.265
Myeloma,34000,2009,2009,Female,F,Non-Hispanic,2186-5,0.501,4564,131702711,2.641,8833,131702711,5.273
Myeloma,34000,2009,2009,Male,M,Hispanic,2135-2,0.47,360,25062023,3.565,868,25062023,7.584
Myeloma,34000,2009,2009,Male,M,Non-Hispanic,2186-5,0.53,5473,125745431,4.275,10792,125745431,8.073
Myeloma,34000,2010,2010,Female,F,Hispanic,2135-2,0.448,338,24992953,2.399,801,24992953,5.352
Myeloma,34000,2010,2010,Female,F,Non-Hispanic,2186-5,0.496,4799,132256712,2.715,9313,132256712,5.469
Myeloma,34000,2010,2010,Male,M,Hispanic,2135-2,0.461,378,25738929,3.603,946,25738929,7.81
Myeloma,34000,2010,2010,Male,M,Non-Hispanic,2186-5,0.511,5494,126338549,4.195,11239,126338549,8.205
Myeloma,34000,2011,2011,Female,F,Hispanic,2135-2,0.43,355,25565638,2.463,908,25565638,5.724
Myeloma,34000,2011,2011,Female,F,Non-Hispanic,2186-5,0.491,4886,132804863,2.736,9617,132804863,5.577
Myeloma,34000,2011,2011,Male,M,Hispanic,2135-2,0.437,387,26254388,3.54,1043,26254388,8.109
Myeloma,34000,2011,2011,Male,M,Non-Hispanic,2186-5,0.508,5769,126958592,4.323,11900,126958592,8.505
Myeloma,34000,2012,2012,Female,F,Hispanic,2135-2,0.45,374,26106559,2.46,908,26106559,5.467
Myeloma,34000,2012,2012,Female,F,Non-Hispanic,2186-5,0.507,5104,133374076,2.799,9708,133374076,5.524
Myeloma,34000,2012,2012,Male,M,Hispanic,2135-2,0.394,408,26757437,3.404,1160,26757437,8.64
Myeloma,34000,2012,2012,Male,M,Non-Hispanic,2186-5,0.501,5915,127639590,4.302,12335,127639590,8.579
Myeloma,34000,2013,2013,Female,F,Hispanic,2135-2,0.392,355,26641948,2.23,985,26641948,5.695
Myeloma,34000,2013,2013,Female,F,Non-Hispanic,2186-5,0.475,5026,133903945,2.703,10213,133903945,5.691
Myeloma,34000,2013,2013,Male,M,Hispanic,2135-2,0.406,419,27259191,3.362,1172,27259191,8.284
Myeloma,34000,2013,2013,Male,M,Non-Hispanic,2186-5,0.485,5977,128254863,4.243,12851,128254863,8.757
Myeloma,34000,2014,2014,Female,F,Hispanic,2135-2,0.393,384,27186616,2.266,1040,27186616,5.768
Myeloma,34000,2014,2014,Female,F,Non-Hispanic,2186-5,0.476,5130,134503903,2.71,10328,134503903,5.696
Myeloma,34000,2014,2014,Male,M,Hispanic,2135-2,0.42,430,27786043,3.411,1192,27786043,8.126
Myeloma,34000,2014,2014,Male,M,Non-Hispanic,2186-5,0.481,6141,128909767,4.276,13395,128909767,8.891
Myeloma,34000,2014,2014,Male,M,Unknown or Missing,UNK,Not Applicable,18,Not Applicable,Not Applicable,36,Not Applicable,Not Applicable
Myeloma,34000,2015,2015,Female,F,Hispanic,2135-2,0.37,395,27757109,2.244,1144,27757109,6.055
Myeloma,34000,2015,2015,Female,F,Non-Hispanic,2186-5,0.461,5098,135075042,2.665,10691,135075042,5.785
Myeloma,34000,2015,2015,Male,M,Hispanic,2135-2,0.42,474,28354824,3.44,1279,28354824,8.187
Myeloma,34000,2015,2015,Male,M,Non-Hispanic,2186-5,0.475,6228,129552019,4.238,13729,129552019,8.922
Myeloma,34000,2015,2015,Male,M,Unknown or Missing,UNK,Not Applicable,21,Not Applicable,Not Applicable,32,Not Applicable,Not Applicable
Myeloma,34000,2016,2016,Female,F,Hispanic,2135-2,0.401,409,28342097,2.25,1133,28342097,5.61
Myeloma,34000,2016,2016,Female,F,Non-Hispanic,2186-5,0.444,5111,135643965,2.61,11084,135643965,5.875
Myeloma,34000,2016,2016,Male,M,Hispanic,2135-2,0.437,532,28936905,3.712,1401,28936905,8.503
Myeloma,34000,2016,2016,Male,M,Non-Hispanic,2186-5,0.456,6186,130148788,4.082,14137,130148788,8.948
Myeloma,34000,2016,2016,Male,M,Unknown or Missing,UNK,Not Applicable,16,Not Applicable,Not Applicable,30,Not Applicable,Not Applicable
Myeloma,34000,2017,2017,Female,F,Hispanic,2135-2,0.371,400,28906337,2.077,1184,28906337,5.603
Myeloma,34000,2017,2017,Female,F,Non-Hispanic,2186-5,0.43,5058,136102346,2.523,11245,136102346,5.869
Myeloma,34000,2017,2017,Male,M,Hispanic,2135-2,0.396,481,29490085,3.139,1392,29490085,7.924
Myeloma,34000,2017,2017,Male,M,Non-Hispanic,2186-5,0.465,6360,130623360,4.112,14219,130623360,8.836
Myeloma,34000,2018,2018,Female,F,Hispanic,2135-2,0.368,461,29449021,2.271,1348,29449021,6.164
Myeloma,34000,2018,2018,Female,F,Non-Hispanic,2186-5,0.435,5097,136428665,2.487,11138,136428665,5.719
Myeloma,34000,2018,2018,Male,M,Hispanic,2135-2,0.396,491,30013471,3.131,1442,30013471,7.901
Myeloma,34000,2018,2018,Male,M,Non-Hispanic,2186-5,0.451,6260,130947042,3.939,14339,130947042,8.73
Myeloma,34000,2019,2019,Female,F,Hispanic,2135-2,0.378,450,29926362,2.09,1265,29926362,5.528
Myeloma,34000,2019,2019,Female,F,Non-Hispanic,2186-5,0.41,5042,136711255,2.415,11701,136711255,5.889
Myeloma,34000,2019,2019,Male,M,Hispanic,2135-2,0.386,518,30471950,3.09,1521,30471950,8.015
Myeloma,34000,2019,2019,Male,M,Non-Hispanic,2186-5,0.451,6430,131220386,3.958,14714,131220386,8.767
Myeloma,34000,2020,2020,Female,F,Hispanic,2135-2,0.416,449,29686986,2.058,1167,29686986,4.946
Myeloma,34000,2020,2020,Female,F,Non-Hispanic,2186-5,0.448,4925,132552322,2.405,10472,132552322,5.374
Myeloma,34000,2020,2020,Male,M,Hispanic,2135-2,0.432,520,30192675,3.054,1387,30192675,7.063
Myeloma,34000,2020,2020,Male,M,Non-Hispanic,2186-5,0.495,6171,127158928,3.848,12870,127158928,7.772
Non-Hodgkin Lymphoma,33041-33042,1999,1999,Female,F,Hispanic,2135-2,0.353,465,16482539,5.562,1482,16482539,15.738
Non-Hodgkin Lymphoma,33041-33042,1999,1999,Female,F,Non-Hispanic,2186-5,0.425,10390,123911675,6.913,23199,123911675,16.282
Non-Hodgkin Lymphoma,33041-33042,1999,1999,Female,F,Unknown or Missing,UNK,Not Applicable,22,Not Applicable,Not Applicable,56,Not Applicable,Not Applicable
Non-Hodgkin Lymphoma,33041-33042,1999,1999,Male,M,Hispanic,2135-2,0.359,493,17412426,7.197,1732,17412426,20.032
Non-Hodgkin Lymphoma,33041-33042,1999,1999,Male,M,Non-Hispanic,2186-5,0.457,11116,117654708,10.502,25504,117654708,22.994
Non-Hodgkin Lymphoma,33041-33042,1999,1999,Male,M,Unknown or Missing,UNK,Not Applicable,30,Not Applicable,Not Applicable,76,Not Applicable,Not Applicable
Non-Hodgkin Lymphoma,33041-33042,2000,2000,Female,F,Hispanic,2135-2,0.369,465,17296134,5.251,1452,17296134,14.243
Non-Hodgkin Lymphoma,33041-33042,2000,2000,Female,F,Non-Hispanic,2186-5,0.415,10315,124569636,6.781,23528,124569636,16.351
Non-Hodgkin Lymphoma,33041-33042,2000,2000,Female,F,Unknown or Missing,UNK,Not Applicable,19,Not Applicable,Not Applicable,63,Not Applicable,Not Applicable
Non-Hodgkin Lymphoma,33041-33042,2000,2000,Male,M,Hispanic,2135-2,0.37,559,18311173,7.771,1877,18311173,21.019
Non-Hodgkin Lymphoma,33041-33042,2000,2000,Male,M,Non-Hispanic,2186-5,0.451,11073,118381271,10.318,25748,118381271,22.881
Non-Hodgkin Lymphoma,33041-33042,2000,2000,Male,M,Unknown or Missing,UNK,Not Applicable,27,Not Applicable,Not Applicable,72,Not Applicable,Not Applicable
Non-Hodgkin Lymphoma,33041-33042,2001,2001,Female,F,Hispanic,2135-2,0.311,428,18038562,4.633,1566,18038562,14.9
Non-Hodgkin Lymphoma,33041-33042,2001,2001,Female,F,Non-Hispanic,2186-5,0.398,10061,125565415,6.518,23902,125565415,16.386
Non-Hodgkin Lymphoma,33041-33042,2001,2001,Female,F,Unknown or Missing,UNK,Not Applicable,25,Not Applicable,Not Applicable,52,Not Applicable,Not Applicable
Non-Hodgkin Lymphoma,33041-33042,2001,2001,Male,M,Hispanic,2135-2,0.405,579,19057491,7.688,1813,19057491,18.987
Non-Hodgkin Lymphoma,33041-33042,2001,2001,Male,M,Non-Hispanic,2186-5,0.434,11008,119454493,10.109,26674,119454493,23.3
